term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
rural_hospitals,-1.63,3.27,0,115,1,1,0,0,2,131,115,16,68,7,5,58,10,9,7,2,0.286,0.074,0,9,7,2,0.286,0.085,0,4,3,1,0.333,0.333,0,0,0.02,3.11,3.14,0.823,0.59,15
executive_director,-5.81,-2.14,0,46,1,1,0,0,2,64,46,18,52,9,1,35,17,4,3,1,0.333,0.067,0,4,3,1,0.333,0.095,0,2,1,1,0.125,1,0,-0.04,-1.69,-2.03,-2.24,0.492,0.1,18
balanced_budget,-1.04,4.29,0,23,1,1,0,0,2,205,23,182,151,8,53,17,134,8,6,2,0.333,0.041,0,3,2,1,0.5,0.15,0,8,6,2,0.046,0.333,0,0.49,6.33,4.46,3.83,0.56,1.32,15
medicaid_expansion,-2.02,1.84,0,82,1,1,0,0,2,87,82,5,58,14,3,53,5,6,5,1,0.2,0.074,0,6,5,1,0.2,0.079,0,1,1,0,0.25,0,0,-0.04,-1.28,2,2.61,0.499,0.22,18
tax_burden,-1.97,3.67,0,25,1,1,0,0,2,65,25,39,61,6,7,24,36,2,2,0,0,0.032,0,2,1,1,1,0.087,0,2,2,0,0.054,0,0,0.02,0.92,3.71,2.57,0.076,0.05,10
fought_protect,-1.91,1.52,0,34,1,1,0,0,2,51,34,17,44,20,12,27,17,3,2,1,0.5,0.062,0,3,2,1,0.5,0.097,0,1,1,0,0.062,0,0,-0.04,-1.08,1.62,2.62,0.095,0.09,14
tax_relief,-1.41,2.07,0,59,1,1,0,0,2,110,59,48,77,18,18,40,36,7,4,3,0.75,0.068,0,7,4,3,0.75,0.135,0,3,3,0,0.067,0,0,0.05,0.87,2.25,3.62,-0.571,-0.72,10
member_congressional,-3.4,-1.29,0,60,1,1,0,0,2,70,60,10,48,39,6,42,6,6,4,2,0.5,0.094,0,6,4,2,0.5,0.111,0,4,2,2,0.667,1,0,-0.09,-1.44,-1.04,-2.56,-0.292,-0.25,20
family_farmers,-0.93,5.38,0,42,1,1,0,0,2,50,42,8,31,4,1,24,7,5,4,1,0.25,0.111,0,5,4,1,0.25,0.135,0,2,1,1,0.333,1,0,-0.03,-1.03,4.88,3.53,-1.963,-0.63,14
protect_citizens,-9.18,-4.1,0,21,1,1,0,0,2,64,21,43,56,3,6,19,37,3,2,1,0.5,0.049,0,2,2,0,0,0.105,0,3,2,1,0.075,0.5,0,0.04,2.32,-3.66,-1.97,-1.089,-0.75,16
loan_interest,-1.74,1.72,0,41,1,1,0,0,2,51,41,10,39,18,2,31,8,6,4,2,0.5,0.133,0,6,4,2,0.5,0.171,0,3,1,2,0.429,2,0,-0.03,-0.59,2.16,3.18,-6.006,-2.77,13
work_create,-2.36,2.17,0,36,1,1,0,0,2,60,36,24,51,9,2,28,23,3,3,0,0,0.053,0,3,3,0,0,0.091,0,2,1,1,0.091,1,0,0,0.01,2.88,2.51,-3.033,-1.53,11
strongly_believes,-5.04,-1.89,0,32,1,1,0,0,2,50,32,18,41,13,3,25,16,4,2,2,1,0.087,0,4,2,2,1,0.143,0,2,2,0,0.125,0,0,-0.04,-1.28,-1.69,-2.46,0.989,0.43,17
chair_congressional,-3.92,-1.69,0,51,1,1,0,0,2,53,51,2,34,31,2,32,2,5,4,1,0.25,0.104,0,5,4,1,0.25,0.109,0,1,1,0,1,0,0,-0.23,-4.13,-1.54,-3.41,1.158,0.41,19
state_assembly,-5.18,-2.34,0,37,1,1,0,0,2,69,37,32,36,21,2,24,12,15,7,8,1.143,0.278,0,7,3,4,1.333,0.233,0,15,6,9,0.882,1.5,0,-0.11,-3.2,-2.27,-3.77,3.739,1.31,14
energy_commerce,-4.42,-1.82,0,37,1,1,0,0,2,62,37,25,36,19,14,21,15,4,4,0,0,0.069,0,4,4,0,0,0.121,0,4,3,1,0.19,0.333,0,0.01,0.11,-1.69,-3.19,-0.003,0,15
commerce_committee,-4.81,-1.84,0,27,1,1,0,0,2,53,27,26,36,15,18,17,19,4,3,1,0.333,0.082,0,4,3,1,0.333,0.174,0,3,3,0,0.13,0,0,0.08,1.58,-1.68,-2.66,-0.223,-0.3,18
original_cosponsor,-2.88,-1.21,0,91,1,1,0,0,2,98,91,7,51,43,6,45,6,16,9,7,0.778,0.195,0,16,9,7,0.778,0.213,0,2,1,1,0.4,1,0,-0.1,-0.88,-0.82,-2.53,2.558,1.49,18
protections_preexisting,-1.61,1.76,0,58,1,1,0,0,2,64,58,6,59,26,2,53,6,4,2,2,1,0.067,0,4,2,2,1,0.074,0,1,1,0,0.2,0,0,-0.09,-2.55,1.89,3.15,-0.985,-0.39,23
