term,b0,b1,b1prior,count,party,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
poverty,-2.61,-1.17,0,905,D,1,1,0,1,1,1094,905,178,454,65,15,346,105,28,23,5,0.217,0.026,0,28,23,5,0.217,0.032,0,11,7,4,0.066,0.571,0,-0.16,-2.02,-0.9,-3.13,-0.425,-0.54,7
inequality,-4.84,-2.06,0,290,D,1,1,0,1,1,312,290,22,165,23,0,149,16,17,11,6,0.545,0.058,0,17,11,6,0.545,0.062,0,3,2,1,0.158,0.5,0,-0.08,-2.22,-1.82,-3.19,0,0,10
color,-4.9,-2.66,0,544,D,1,1,0,1,1,589,544,45,257,33,2,225,32,26,23,3,0.13,0.046,0,26,23,3,0.13,0.05,0,5,3,2,0.125,0.667,0,-0.16,-2.75,-2.52,-5.8,-3.211,-1.52,5
black,-2.75,-1.66,0,1074,D,1,1,0,1,1,1225,1074,145,369,60,7,293,72,46,30,16,0.533,0.039,0,46,30,16,0.533,0.045,0,14,8,6,0.107,0.75,0,-0.45,-3.18,-1.47,-5.96,-0.784,-0.75,5
disparities,-4.08,-1.9,0,286,D,1,1,0,1,1,296,286,10,155,30,1,148,7,14,12,2,0.167,0.05,0,14,12,2,0.167,0.051,0,3,2,1,0.429,0.5,0,-0.17,-2.75,-1.71,-4.04,-2.435,-0.73,11
cut,-0.65,0.51,0,559,D,1,1,1,1,1,974,559,412,530,90,74,292,235,12,12,0,0,0.012,0,12,12,0,0,0.022,0,8,7,1,0.02,0.143,0,0.36,2.5,0.79,3.43,0.775,2.29,3
onto,-2.86,1.69,0,61,D,1,1,1,1,1,105,61,44,91,8,9,52,39,3,3,0,0,0.029,0,3,3,0,0,0.052,0,3,2,1,0.073,0.5,0,0.06,2.19,1.89,1.7,2.21,1.74,4
racism,-4.2,-1.67,0,363,D,1,1,0,1,1,414,363,44,187,25,0,163,21,12,11,1,0.091,0.03,0,12,11,1,0.091,0.034,0,10,4,6,0.294,1.5,0,-0.11,-2.51,-1.43,-2.84,0,0,6
healthy,-1.96,-0.73,0,598,D,1,1,0,1,1,739,598,137,412,76,20,311,98,12,11,1,0.091,0.017,0,12,11,1,0.091,0.02,0,5,4,1,0.038,0.25,0,-0.21,-2.18,-0.45,-1.76,-0.394,-0.53,7
return,-1.24,0.96,0,387,D,1,1,1,1,1,679,387,290,435,56,39,243,191,10,10,0,0,0.015,0,6,6,0,0,0.016,0,10,10,0,0.036,0,0,0.17,2.5,1.25,3.35,0.972,1.8,6
voter,-2.2,-0.8,0,664,D,1,1,0,1,1,756,664,91,305,53,5,252,52,25,15,10,0.667,0.034,0,25,15,10,0.667,0.039,0,10,5,5,0.123,1,0,-0.35,-2.96,-0.57,-2.03,-1.263,-0.96,5
spending,-0.85,0.56,0,598,D,1,1,1,1,1,1394,598,794,643,70,99,293,348,21,19,2,0.105,0.015,0,13,12,1,0.083,0.022,0,21,19,2,0.027,0.105,0,1.38,7.15,0.94,3.55,1.304,5.23,8
chair,-1.57,-0.78,0,324,D,1,1,0,1,1,469,324,143,257,98,28,173,83,10,9,1,0.111,0.022,0,10,9,1,0.111,0.032,0,8,6,2,0.059,0.333,0,-0.47,-3.22,-0.58,-2.77,-0.412,-0.8,5
powerful,-2.89,-1.2,0,278,D,1,1,0,1,1,388,278,106,274,59,23,188,82,4,4,0,0,0.01,0,4,4,0,0,0.015,0,4,4,0,0.039,0,0,-0.2,-2.82,-1.01,-3.04,-1.036,-1.47,8
universal,-1.98,-0.8,0,1140,D,1,1,0,1,1,1215,1140,72,461,78,3,420,39,16,16,0,0,0.013,0,16,16,0,0,0.014,0,8,8,0,0.125,0,0,-0.37,-3.82,-0.52,-2.07,-1.741,-1.02,9
voted,-0.25,0.14,0,648,D,1,1,1,1,1,1055,648,404,407,110,75,235,171,23,20,3,0.15,0.022,0,23,20,3,0.15,0.037,0,19,17,2,0.049,0.118,0,0.6,1.89,0.43,2.66,0.588,2.34,5
larger,-2.15,1.49,0,135,D,1,1,1,1,1,207,135,72,155,18,11,102,53,5,5,0,0,0.025,0,4,4,0,0,0.031,0,5,5,0,0.075,0,0,0.05,1.7,2.01,2.63,2.768,2.24,6
separated,-5.39,-2.51,0,93,D,1,1,0,1,1,102,93,9,74,18,1,65,9,6,4,2,0.5,0.062,0,6,4,2,0.5,0.069,0,1,1,0,0.125,0,0,-0.07,-1.96,-2.34,-3.91,-53.049,0,9
advocate,-0.97,-0.57,0,981,D,1,1,0,1,1,1399,981,417,672,142,66,423,248,16,11,5,0.455,0.012,0,16,11,5,0.455,0.017,0,10,7,3,0.025,0.429,0,-0.53,-3.46,-0.32,-1.92,-0.551,-1.38,8
civilrights,-2.23,-1.21,0,490,D,1,1,1,1,1,564,490,72,294,85,7,250,42,11,9,2,0.222,0.02,0,11,9,2,0.222,0.023,0,8,5,3,0.125,0.6,0,-0.55,-4.84,-1.01,-4.29,-2.401,-2.14,11
terrorism,-1.79,0.41,0,171,D,1,1,1,1,1,381,171,209,218,38,33,101,116,12,8,4,0.5,0.033,0,7,5,2,0.4,0.043,0,12,8,4,0.061,0.5,0,0.37,3.36,0.82,2.05,1.768,3.75,9
communities,-0.1,-0.48,0,3136,D,1,1,1,1,1,3872,3136,729,940,169,75,627,308,47,38,9,0.237,0.012,0,47,38,9,0.237,0.015,0,21,19,2,0.03,0.105,0,-0.9,-3.28,-0.21,-1.86,-1.02,-3.78,11
organizing,-5.33,-2.21,0,118,D,1,1,0,1,1,134,118,14,93,16,0,80,11,5,4,1,0.25,0.039,0,5,4,1,0.25,0.044,0,2,2,0,0.167,0,0,-0.08,-2.74,-2.1,-3.07,0,0,10
bargain,-4.21,-1.27,0,127,D,1,1,0,1,1,130,127,3,105,22,0,103,2,4,4,0,0,0.032,0,4,4,0,0,0.033,0,2,1,1,2,1,0,-0.07,-2.59,-1.03,-1.68,0,0,7
detention,-4.35,-2.09,0,262,D,1,1,0,1,1,275,262,13,157,31,1,145,12,9,9,0,0,0.034,0,9,9,0,0,0.036,0,2,1,1,0.182,1,0,-0.13,-2.55,-1.86,-4.23,-2.793,-0.95,9
residents,-1.98,-1.17,0,704,D,1,1,1,1,1,989,704,280,462,98,30,314,147,18,13,5,0.385,0.019,0,18,13,5,0.385,0.026,0,11,11,0,0.041,0,0,-0.44,-3.14,-0.94,-4.46,-1.451,-2.62,9
